Eco_Region,Site,Area,Longitude,Latitude,XUTM,YUTM,T,S,Es,Ns,CHL,PHYC,NIT,PHO,DOX,"Andrello et al., 2015 - 9 connectivity clusters","Andrello et al., 2015 - 33 connectivity clusters"
Algero-Provencal,Alghero A,Alghero A1,8.1348,40.6032,426800.3,4495069.73,16.20756,37.89008,-0.00013,0.00491,0.17128,0.77228,0.86337,0.04371,243.33961,9,22
Algero-Provencal,Alghero A,Alghero A2,8.1348,40.6032,426800.3,4495069.73,16.20756,37.89008,-0.00013,0.00491,0.17128,0.77228,0.86337,0.04371,243.33961,9,22
Algero-Provencal,Alghero A,Alghero A3,8.1348,40.6032,426800.3,4495069.73,16.20756,37.89008,-0.00013,0.00491,0.17128,0.77228,0.86337,0.04371,243.33961,9,22
Algero-Provencal,Alghero B,Alghero B1,8.1427,40.5687,427431.4,4491233.57,16.15501,37.8895,-0.0032,0.01765,0.17159,0.7706,0.85173,0.04313,243.79445,9,22
Algero-Provencal,Alghero B,Alghero B2,8.1427,40.5687,427431.4,4491233.57,16.15501,37.8895,-0.0032,0.01765,0.17159,0.7706,0.85173,0.04313,243.79445,9,22
Algero-Provencal,Alghero B,Alghero B3,8.1427,40.5687,427431.4,4491233.57,16.15501,37.8895,-0.0032,0.01765,0.17159,0.7706,0.85173,0.04313,243.79445,9,22
Algero-Provencal,Alghero C,Alghero C1,8.14327,40.55485,427464.7,4489695.71,16.15501,37.8895,-0.0032,0.01765,0.17159,0.7706,0.85173,0.04313,243.79445,9,22
Algero-Provencal,Alghero C,Alghero C2,8.14327,40.55485,427464.7,4489695.71,16.15501,37.8895,-0.0032,0.01765,0.17159,0.7706,0.85173,0.04313,243.79445,9,22
Algero-Provencal,Alghero C,Alghero C3,8.14327,40.55485,427464.7,4489695.71,16.15501,37.8895,-0.0032,0.01765,0.17159,0.7706,0.85173,0.04313,243.79445,9,22
Algero-Provencal,Asinara A,Asinara A1,8.17916,40.9997,430965.45,4539048.2,16.18522,37.89426,0.00765,0.03963,0.16244,0.73652,0.94061,0.04724,242.58195,9,22
Algero-Provencal,Asinara A,Asinara A2,8.17916,40.9997,430965.45,4539048.2,16.18522,37.89426,0.00765,0.03963,0.16244,0.73652,0.94061,0.04724,242.58195,9,22
Algero-Provencal,Asinara A,Asinara A3,8.17916,40.9997,430965.45,4539048.2,16.18522,37.89426,0.00765,0.03963,0.16244,0.73652,0.94061,0.04724,242.58195,9,22
Algero-Provencal,Asinara B,Asinara B1,8.217,41.04809,434196.1,4544390.81,16.19945,37.89405,0.02281,0.02761,0.16142,0.73348,0.93534,0.0467,242.51582,9,22
Algero-Provencal,Asinara B,Asinara B2,8.217,41.04809,434196.1,4544390.81,16.19945,37.89405,0.02281,0.02761,0.16142,0.73348,0.93534,0.0467,242.51582,9,22
Algero-Provencal,Asinara B,Asinara B3,8.217,41.04809,434196.1,4544390.81,16.19945,37.89405,0.02281,0.02761,0.16142,0.73348,0.93534,0.0467,242.51582,9,22
Algero-Provencal,Bosa,Bosa1,8.42621,40.28395,451224.8,4459431.58,16.18679,37.88288,-0.00355,0.013,0.17532,0.79472,0.78826,0.03942,244.64059,9,22
Algero-Provencal,Bosa,Bosa2,8.42621,40.28395,451224.8,4459431.58,16.18679,37.88288,-0.00355,0.013,0.17532,0.79472,0.78826,0.03942,244.64059,9,22
Algero-Provencal,Bosa,Bosa3,8.42621,40.28395,451224.8,4459431.58,16.18679,37.88288,-0.00355,0.013,0.17532,0.79472,0.78826,0.03942,244.64059,9,22
Algero-Provencal,Capo Testa A,Capo Testa A1,9.13467,41.242,511284.43,4565630.67,16.6062,37.96613,0.01439,0.02487,0.16278,0.71705,0.7669,0.0329,242.99307,3,2
Algero-Provencal,Capo Testa A,Capo Testa A2,9.13467,41.242,511284.43,4565630.67,16.6062,37.96613,0.01439,0.02487,0.16278,0.71705,0.7669,0.0329,242.99307,3,2
Algero-Provencal,Capo Testa A,Capo Testa A3,9.13467,41.242,511284.43,4565630.67,16.6062,37.96613,0.01439,0.02487,0.16278,0.71705,0.7669,0.0329,242.99307,3,2
Algero-Provencal,Capo Testa B,Capo Testa B1,9.16894,41.25213,514153.83,4566760.26,16.48049,37.97621,0.04568,0.00906,0.16363,0.7043,0.78928,0.03407,243.02449,3,2
Algero-Provencal,Capo Testa B,Capo Testa B2,9.16894,41.25213,514153.83,4566760.26,16.48049,37.97621,0.04568,0.00906,0.16363,0.7043,0.78928,0.03407,243.02449,3,2
Algero-Provencal,Capo Testa B,Capo Testa B3,9.16894,41.25213,514153.83,4566760.26,16.48049,37.97621,0.04568,0.00906,0.16363,0.7043,0.78928,0.03407,243.02449,3,2
Algero-Provencal,Castelsardo,Castelsardo 1,8.697,40.9319,474491.01,4531241.55,16.53606,37.93419,0.00728,0.00905,0.15095,0.68098,0.76383,0.03274,243.79843,3,2
Algero-Provencal,Castelsardo,Castelsardo 2,8.697,40.9319,474491.01,4531241.55,16.53606,37.93419,0.00728,0.00905,0.15095,0.68098,0.76383,0.03274,243.79843,3,2
Algero-Provencal,Castelsardo,Castelsardo 3,8.697,40.9319,474491.01,4531241.55,16.53606,37.93419,0.00728,0.00905,0.15095,0.68098,0.76383,0.03274,243.79843,3,2
Algero-Provencal,Catalano A,Catalano A1,8.32684,39.86731,442427.96,4413246.89,16.38689,37.85832,-0.00862,0.00839,0.19226,0.85562,0.7173,0.03522,245.39622,9,22
Algero-Provencal,Catalano A,Catalano A2,8.32684,39.86731,442427.96,4413246.89,16.38689,37.85832,-0.00862,0.00839,0.19226,0.85562,0.7173,0.03522,245.39622,9,22
Algero-Provencal,Catalano A,Catalano A3,8.32684,39.86731,442427.96,4413246.89,16.38689,37.85832,-0.00862,0.00839,0.19226,0.85562,0.7173,0.03522,245.39622,9,22
Algero-Provencal,Catalano B,Catalano B1,8.32436,39.83004,442184.6,4409111.94,16.38256,37.85793,-0.00461,0.01202,0.18827,0.82524,0.72594,0.03575,244.96301,9,22
Algero-Provencal,Catalano B,Catalano B2,8.32436,39.83004,442184.6,4409111.94,16.38256,37.85793,-0.00461,0.01202,0.18827,0.82524,0.72594,0.03575,244.96301,9,22
Algero-Provencal,Catalano B,Catalano B3,8.32436,39.83004,442184.6,4409111.94,16.38256,37.85793,-0.00461,0.01202,0.18827,0.82524,0.72594,0.03575,244.96301,9,22
Algero-Provencal,Costa Paradiso A,Costa Paradiso A1,8.98302,41.12905,498574.75,4553083.14,16.61127,37.94897,0.00095,0.00516,0.15794,0.69928,0.78498,0.03459,243.2222,3,2
Algero-Provencal,Costa Paradiso A,Costa Paradiso A2,8.98302,41.12905,498574.75,4553083.14,16.61127,37.94897,0.00095,0.00516,0.15794,0.69928,0.78498,0.03459,243.2222,3,2
Algero-Provencal,Costa Paradiso A,Costa Paradiso A3,8.98302,41.12905,498574.75,4553083.14,16.61127,37.94897,0.00095,0.00516,0.15794,0.69928,0.78498,0.03459,243.2222,3,2
